"userid","ADD BOOKMARK","ADD MARKER","ADD MEMO","ADD_HW_MEMO","ADD_RECOMMENDATION","BOOKMARK_JUMP","CHANGE MEMO","CLEAR_HW_MEMO","CLOSE","CLOSE_RECOMMENDATION","DELETE BOOKMARK","DELETE MARKER","DELETE_MEMO","GETIT","LINK_CLICK","MEMO_JUMP","NEXT","NOTGETIT","OPEN","OPEN_RECOMMENDATION","PAGE_JUMP","PREV","REGIST CONTENTS","SEARCH","SEARCH_JUMP","UNDO_HW_MEMO","code_copy","code_execution","code_paste","code_speed","notebook_open","tree_open","AssertionError","AttributeError","AxisError","ConversionError","DataError","EmptyDataError","Exception","FileNotFoundError","HTTPError","ImportError","IndentationError","IndexError","IndexingError","InvalidURL","KeyError","KeyboardInterrupt","ModuleNotFoundError","NameError","OSError","OverflowError","ParserError","RecursionError","RuntimeError","SelectorSyntaxError","SpecificationError","StopIteration","SyntaxError","TabError","TclError","TypeError","UFuncTypeError","UnboundLocalError","UndefinedVariableError","ValueError","WebDriverException","XLRDError","ZeroDivisionError","codeLength","Viscode-login_times","Viscode-execute_times","Viscode-open_file_times","Viscode-success_run","Viscode-failed_run","Viscode-error_types","Viscode-spent_time","class","score"
"45063773a71d0b796ce10ee5e20473ae",-0.343066026,-0.917255505,-0.541458857,-0.245907257,0,-0.154854495,-0.436843624,-0.211983924,-0.814041727,-0.223054181,-0.395305516,-0.670027691,-0.081929391,-0.195067542,-0.132137604,-0.175166163,-0.906968516,-0.177922124,-0.929996799,-0.066964953,-0.472540406,-0.454066327,0,-0.134698884,-0.087217275,-0.247884434,-0.372815832,-0.071268891,0.036612739,-0.040695205,-0.536128867,-0.405479121,-0.047298377,-0.173492012,-0.047298377,-0.090377143,-0.047298377,-0.120044178,-0.054450394,-0.222308905,-0.059868434,-0.072059979,-0.584369487,-0.233942223,-0.0949158,-0.047298377,-0.221958548,-0.475593511,0.594701406,-0.382014278,-0.047298377,-0.047298377,-0.139228704,-0.178682605,-0.082107083,-0.047298377,-0.047298377,-0.047298377,-0.436155795,-0.290396371,-0.047298377,-0.695048578,-0.047298377,-0.411255618,-0.047298377,-0.499669527,-0.047298377,-0.047298377,0.500371996,-0.066143205,-0.531568909,-0.174364192,-0.536128867,-0.123158562,-0.571286918,0.659451958,"0 days 01:05:52.885897","e",90
"4524e704e7373c5dfc78a24d105a70c8",-0.168016391,-0.772024734,-0.638410723,-0.245907257,0,-0.154854495,-0.463322577,-0.211983924,-0.802293049,-0.223054181,0.062901137,-0.585376702,-0.081929391,-0.195067542,-0.132137604,-0.175166163,-0.284424172,-0.177922124,-0.81849425,-0.066964953,-0.606623532,0.097096476,0,-0.042074018,-0.087217275,-0.247884434,0.699401849,0.260239033,0.663302061,0.418495235,0.888960542,-0.15407886,-0.047298377,0.271920145,-0.047298377,-0.090377143,-0.047298377,-0.120044178,-0.054450394,-0.222308905,-0.059868434,-0.072059979,-0.07553075,-0.569859262,-0.0949158,-0.047298377,-0.142599067,3.307819538,-0.256500607,-0.562734865,-0.047298377,-0.047298377,-0.139228704,-0.178682605,-0.082107083,-0.047298377,-0.047298377,-0.047298377,1.280055406,-0.290396371,-0.047298377,-0.376390796,-0.047298377,-0.411255618,-0.047298377,-0.499669527,-0.047298377,-0.047298377,-0.143785056,-0.158183239,0.73754279,0.559079063,0.888960542,0.553337706,0.447633631,-0.118007193,"0","g",59
"455e27cf14b6a2fd101b624fbdb8b22a",-0.168016391,-0.499717039,-0.008223596,-0.145298626,0,-0.154854495,-0.41036467,1.205460822,-0.109121086,-0.223054181,0.062901137,-0.373749231,-0.445338967,-0.126147779,-0.132137604,-0.0935919,-0.01545031,-0.058418209,0.027066746,-0.066964953,3.80854227,0.675106751,0,-0.134698884,-0.087217275,0.367363358,1.518576157,0.926654963,2.205205986,1.596239139,1.979590192,1.138836773,-0.047298377,-0.173492012,-0.047298377,-0.090377143,-0.047298377,-0.120044178,-0.054450394,-0.222308905,-0.059868434,-0.072059979,0.81493704,-0.233942223,-0.0949158,-0.047298377,-0.301318029,0.520041502,0.594701406,-0.165149573,-0.047298377,-0.047298377,-0.139228704,-0.178682605,-0.082107083,-0.047298377,-0.047298377,-0.047298377,0.243177806,-0.290396371,-0.047298377,0.048486247,-0.047298377,-0.411255618,-0.047298377,-0.066407692,-0.047298377,-0.047298377,-0.143785056,-0.140808334,1.900374199,1.651478077,1.979590192,1.771030987,0.12973042,0.659451958,"0 days 03:25:32.700926","i",65
"468ef38d4daef73281670aa0a8110a1a",0.182082879,1.146231699,1.203674725,0.106222952,0,-0.052038913,0.119214394,-0.211983924,1.042249294,-0.223054181,0.979314442,0.472760655,1.735118491,0.287370795,-0.132137604,-0.175166163,-0.055217951,-0.177922124,0.4916607,-0.066964953,-0.175642054,-0.327725283,0,-0.042074018,-0.087217275,-0.247884434,-0.878902577,0.052834075,-0.732788012,-0.474538805,-0.856046898,-1.016022615,-0.047298377,-0.284845051,-0.047298377,-0.090377143,-0.047298377,-0.120044178,-0.054450394,-0.222308905,-0.059868434,-0.072059979,-0.457159803,-0.065983704,-0.0949158,-0.047298377,-0.301318029,-0.077339505,-0.256500607,-0.165149573,-0.047298377,-0.047298377,-0.139228704,-0.178682605,-0.082107083,-0.047298377,-0.047298377,-0.047298377,-0.972471795,-0.290396371,-0.047298377,-0.217061905,-0.047298377,-0.411255618,-0.047298377,-0.499669527,-0.047298377,-0.047298377,-0.143785056,-0.207842594,-0.912927597,-0.479821736,-0.856046898,-0.440411983,-0.685406019,-0.118007193,"0 days 00:47:58.464376","h",95
"479e88f02385c56f386d07d59f02a3b2",-0.343066026,-0.995922173,-0.977742253,-0.245907257,0,-0.154854495,-0.675154203,-0.211983924,-1.049015274,-0.223054181,-0.395305516,-0.670027691,-0.445338967,-0.195067542,-0.132137604,-0.175166163,-1.512882756,-0.177922124,-1.171585654,-0.066964953,-0.606623532,-1.482166569,0,-0.134698884,-0.087217275,-0.247884434,-0.831724999,0.406442528,-0.559052359,0.181531747,-0.354357259,0.169150049,-0.047298377,1.162744458,-0.047298377,-0.090377143,-0.047298377,-0.120044178,-0.054450394,4.782434288,-0.059868434,-0.072059979,-0.07553075,-0.065983704,-0.0949158,-0.047298377,2.238185356,-0.475593511,-0.256500607,2.509515123,-0.047298377,-0.047298377,-0.139228704,-0.178682605,-0.082107083,-0.047298377,-0.047298377,-0.047298377,1.280055406,-0.290396371,-0.047298377,0.792021073,-0.047298377,-0.411255618,-0.047298377,0.511274754,-0.047298377,-0.047298377,-0.143785056,0.197219647,-0.275245856,-0.154518081,-0.354357259,-0.35456694,1.637732833,0.659451958,"0 days 01:37:12.748848","b",67
"481c56986ebae62c870b0da9bbafc5c6",1.494955142,1.12202657,0.718915397,-0.245907257,0,0.847597428,-0.172054091,-0.211983924,-0.802293049,-0.223054181,0.521107789,1.192294058,-0.081929391,-0.195067542,-0.132137604,-0.175166163,-0.677039246,-0.177922124,-0.595489152,-0.066964953,-0.127755224,-0.856778403,0,-0.134698884,-0.087217275,-0.247884434,0.304825743,0.054534116,0.570229389,1.063955483,-0.238023429,0.312807341,-0.047298377,-0.39619809,-0.047298377,-0.090377143,-0.047298377,-0.120044178,-0.054450394,-0.222308905,-0.059868434,-0.072059979,-0.139135592,-0.233942223,-0.0949158,-0.047298377,0.095479375,0.3209145,-0.256500607,-0.382014278,-0.047298377,-0.047298377,-0.139228704,-0.178682605,-0.082107083,-0.047298377,-0.047298377,-0.047298377,0.314686606,-0.290396371,-0.047298377,-0.588829318,-0.047298377,0.142025213,-0.047298377,-0.499669527,-0.047298377,-0.047298377,-0.143785056,-0.056868763,-0.150210221,0.226872412,-0.238023429,0.258478643,-0.114810512,0.659451958,"0 days 01:46:31.369353","b",84
"48245f5393e9819cc5465f00ad214e1b",-0.080491573,-0.517870885,-0.686886656,-0.245907257,0,-0.077742809,-0.622196296,-0.211983924,-0.708303631,-0.223054181,0.062901137,-0.416074725,-0.445338967,-0.057228017,-0.132137604,-0.175166163,-0.425418536,-0.058418209,-0.549029757,-0.066964953,-0.434230941,-0.330883809,0,-0.134698884,-0.087217275,-0.247884434,-0.419993409,-0.195371858,-0.230195586,0.14085891,0.36545831,-0.333650475,-0.047298377,-0.618904169,-0.047298377,-0.090377143,-0.047298377,-0.120044178,-0.054450394,-0.222308905,-0.059868434,-0.072059979,0.242493461,-0.569859262,-0.0949158,-0.047298377,-0.301318029,-0.475593511,-0.256500607,-0.454302513,-0.047298377,-0.047298377,-0.139228704,-0.178682605,-0.082107083,-0.047298377,-0.047298377,-0.047298377,-0.418278595,0.097954597,-0.047298377,-0.695048578,-0.047298377,-0.411255618,-0.047298377,-0.355248915,-0.047298377,-0.047298377,-0.143785056,-0.219347598,0.256155594,-0.212330667,0.36545831,-0.168880378,-0.530530096,-0.506736768,"0 days 01:22:30.556640","d",83
"49135199bfc3943f78910386dabcd423",-0.255541208,0.026744506,0.137204203,-0.245907257,0,-0.154854495,-0.145575138,-0.211983924,-0.132618441,-0.223054181,-0.16620219,0.218807689,0.281480185,-0.126147779,-0.132137604,-0.175166163,-0.634379413,-0.058418209,-0.279565263,-0.066964953,-0.271415716,-0.597779264,0,-0.134698884,-0.087217275,-0.247884434,-0.3041939,-0.526879782,-0.217785896,-0.199849787,-0.688817018,-0.764622353,-0.047298377,0.271920145,-0.047298377,-0.090377143,-0.047298377,-0.120044178,-0.054450394,-0.222308905,-0.059868434,-0.072059979,-0.266345276,-0.233942223,-0.0949158,-0.047298377,-0.301318029,-0.475593511,-0.256500607,-0.418158395,-0.047298377,-0.047298377,-0.139228704,-0.178682605,-0.082107083,-0.047298377,-0.047298377,-0.047298377,-0.722190995,-0.290396371,-0.047298377,0.048486247,-0.047298377,-0.411255618,-0.047298377,0.511274754,-0.047298377,-0.047298377,-0.143785056,-0.103710566,-0.725374144,-0.489313355,-0.688817018,-0.473070424,-0.489773274,-0.118007193,"0 days 01:44:34.024899","h",82
"4a0b194c35027203f99e2d2c7e7b6213",-0.080491573,-0.84464012,-0.686886656,-0.195602942,0,-0.154854495,-0.542759437,-0.211983924,-1.049015274,-0.223054181,0.292004463,-0.373749231,-0.445338967,-0.195067542,-0.132137604,-0.175166163,-0.689331063,-0.177922124,-1.041499347,-0.066964953,-0.070291027,-0.093994352,0,-0.134698884,-0.087217275,-0.247884434,-1.07619063,-1.10999372,-1.064747207,-1.069894833,-0.623379239,-0.764622353,-0.047298377,-0.618904169,-0.047298377,-0.090377143,-0.047298377,-0.120044178,-0.054450394,-0.222308905,-0.059868434,-0.072059979,-0.838788855,-0.569859262,-0.0949158,-0.047298377,-0.301318029,-0.475593511,-0.256500607,-0.454302513,-0.047298377,-0.047298377,-0.139228704,-0.178682605,-0.082107083,-0.047298377,-0.047298377,-0.047298377,-0.704313795,-0.290396371,-0.047298377,-0.801267839,-0.047298377,-0.411255618,-0.047298377,-0.499669527,-0.047298377,-0.047298377,-0.143785056,-0.227291529,-0.669108108,-1.168395522,-0.623379239,-1.168228657,-0.832130578,-1.672925494,"0 days 02:02:38.554649","h",89
"4c2a6bec22f436e1b14bbefa24443b4d",-0.080491573,-0.051922162,-0.58993479,-0.245907257,0,-0.154854495,-0.48980153,-0.211983924,-0.17961315,-0.223054181,0.062901137,-0.458400219,-0.445338967,-0.195067542,-0.132137604,-0.175166163,0.331612739,0.061085707,-0.326024659,-0.066964953,-0.13733259,0.033925954,0,-0.134698884,-0.087217275,-0.247884434,1.231221819,1.219061952,1.674691758,0.811665998,-0.07079355,0.671950572,-0.047298377,0.383273184,-0.047298377,-0.090377143,-0.047298377,-0.120044178,-0.054450394,-0.222308905,-0.059868434,-0.072059979,2.087033882,-0.569859262,-0.0949158,-0.047298377,-0.142599067,-0.276466508,0.594701406,0.991462188,-0.047298377,-0.047298377,-0.139228704,0.933120271,-0.082107083,-0.047298377,-0.047298377,-0.047298377,0.851002606,1.651358468,-0.047298377,0.048486247,-0.047298377,7.334676025,-0.047298377,0.07801292,-0.047298377,-0.047298377,-0.143785056,-0.12225945,0.056098577,1.339980412,-0.07079355,1.333407884,1.010077774,1.825640684,"0 days 01:49:04.952576","b",87
